state,local_government_area,1_59m
Adamawa,Demsa,78295
Adamawa,Fufore,109881
Adamawa,Ganye,58086
Adamawa,Girei,53156
Adamawa,Gombi,63553
Adamawa,Guyuk,71273
Adamawa,Hong,62256
Adamawa,Jada,62492
Adamawa,Lamurde,44530
Adamawa,Madagali,67035
Adamawa,Maiha,57611
Adamawa,Mayo-Belwa,95915
Adamawa,Michika,63488
Adamawa,Mubi North,56045
Adamawa,Mubi South,65614
Adamawa,Numan,51760
Adamawa,Shelleng,61305
Adamawa,Song,91102
Adamawa,Toungo,39538
Adamawa,Yola North,43469
Adamawa,Yola South,134068
Bauchi,Alkaleri,65087
Bauchi,Bauchi,174478
Bauchi,Bogoro,25206
Bauchi,Damban,39899
Bauchi,Darazo,83903
Bauchi,Dass,28345
Bauchi,Gamawa,101219
Bauchi,Ganjuwa,84684
Bauchi,Giade,47015
Bauchi,Itas/Gadau,92458
Bauchi,Jama'are,40984
Bauchi,Katagum,83428
Bauchi,Kirfi,36167
Bauchi,Misau,59951
Bauchi,Ningi,93223
Bauchi,Shira,77317
Bauchi,Tafawa-Balewa,84448
Bauchi,Toro,115142
Bauchi,Warji,32725
Bauchi,Zaki,54319
Gombe,Akko,197210
Gombe,Balanga,83173
Gombe,Billiri,68297
Gombe,Dukku,68291
Gombe,Funakaye,74788
Gombe,Gombe,75822
Gombe,Kaltungo,52889
Gombe,Kwami,60209
Gombe,Nafada,62533
Gombe,Shomgom,47149
Gombe,Yamaltu/Deba,114042
Kaduna,Birnin Gwari,94236
Kaduna,Chikun,115381
Kaduna,Giwa,226851
Kaduna,Igabi,225629
Kaduna,Ikara,108292
Kaduna,Jaba,69109
Kaduna,Jema'A,62835
Kaduna,Kachia,104687
Kaduna,Kaduna North,68091
Kaduna,Kaduna South,103834
Kaduna,Kagarko,89890
Kaduna,Kajuru,39901
Kaduna,Kaura,77249
Kaduna,Kauru,120502
Kaduna,Kubau,211908
Kaduna,Kudan,72825
Kaduna,Lere,191650
Kaduna,Makarfi,86096
Kaduna,Sabon Gari,123869
Kaduna,Sanga,54442
Kaduna,Soba,215370
Kaduna,Zangon Kataf,116995
Kaduna,Zaria,292558
Sokoto,Binji,28515
Sokoto,Bodinga,40925
Sokoto,Dange-Shuni,43566
Sokoto,Gada,111590
Sokoto,Goronyo,64681
Sokoto,Gudu,41497
Sokoto,Gwadabawa,71214
Sokoto,Illela,56446
Sokoto,Isa,56581
Sokoto,Kebbe,63300
Sokoto,Kware,84129
Sokoto,Rabah,29369
Sokoto,Sabon Birni,67733
Sokoto,Shagari,52039
Sokoto,Silame,34235
Sokoto,Sokoto North,63561
Sokoto,Sokoto South,55159
Sokoto,Tambuwal,94832
Sokoto,Tangaza,36925
Sokoto,Tureta,18385
Sokoto,Wamakko,45756
Sokoto,Wurno,43349
Sokoto,Yabo,33182
Yobe,Bade,81397
Yobe,Bursari,65369
Yobe,Damaturu,106378
Yobe,Fika,109710
Yobe,Fune,112214
Yobe,Geidam,69020
Yobe,Gujba,70277
Yobe,Gulani,80236
Yobe,Jakusko,75499
Yobe,Karasuwa,51804
Yobe,Machina,36518
Yobe,Nangere,75541
Yobe,Nguru,51993
Yobe,Potiskum,247154
Yobe,Tarmuwa,52544
Yobe,Yunusari,74719
Yobe,Yusufari,60764
