state,local_government_area,1_59m
Katsina,Bakori,76017
Katsina,Batagarawa,50010
Katsina,Batsari,51682
Katsina,Baure,60003
Katsina,Bindawa,48301
Katsina,Charanchi,46938
Katsina,Dan Musa,45128
Katsina,Dandume,69858
Katsina,Danja,66182
Katsina,Daura,32790
Katsina,Dutsi,32600
Katsina,Dutsin Ma,66490
Katsina,Faskari,32077
Katsina,Funtua,129995
Katsina,Ingawa,49197
Katsina,Jibia,47994
Katsina,Kafur,71246
Katsina,Kaita,53907
Katsina,Kankara,44613
Katsina,Kankia,55353
Katsina,Katsina,88113
Katsina,Kurfi,35667
Katsina,Kusada,35616
Katsina,Mai'Adua,35154
Katsina,Malumfashi,72215
Katsina,Mani,56021
Katsina,Mashi,53020
Katsina,Matazu,33236
Katsina,Musawa,43897
Katsina,Rimi,50143
Katsina,Sabuwa,41942
Katsina,Safana,58722
Katsina,Sandamu,33599
Katsina,Zango,35269
Kebbi,Aleiro,30931
Kebbi,Arewa Dandi,36388
Kebbi,Argungu,63687
Kebbi,Augie,32597
Kebbi,Bagudo,66909
Kebbi,Birnin Kebbi,85620
Kebbi,Bunza,39458
Kebbi,Dandi,45668
Kebbi,Fakai,31690
Kebbi,Gwandu,49395
Kebbi,Jega,45786
Kebbi,Kalgo,26738
Kebbi,Koko/Besse,71547
Kebbi,Maiyama,48253
Kebbi,Ngaski,35863
Kebbi,Sakaba,33421
Kebbi,Shanga,48334
Kebbi,Suru,38689
Kebbi,Wasagu-Danko,79148
Kebbi,Yauri,49216
Kebbi,Zuru,62802
Zamfara,Anka,37457
Zamfara,Bakura,43387
Zamfara,Birnin_Magaji-Kiyaw,70759
Zamfara,Bukkuyum,49602
Zamfara,Bungudu,57777
Zamfara,Gummi,62429
Zamfara,Gusau,106955
Zamfara,Kaura Namoda,80435
Zamfara,Maradun,41874
Zamfara,Maru,51588
Zamfara,Shinkafi,54110
Zamfara,Talata Mafara,63853
Zamfara,Tsafe,70504
Zamfara,Zurmi,61731
Jigawa,Auyo,28030
Jigawa,Babura,65758
Jigawa,Birnin Kudu,82745
Jigawa,Birniwa,38416
Jigawa,Buji,28270
Jigawa,Dutse,64974
Jigawa,Gagarawa,31959
Jigawa,Garki,44816
Jigawa,Gumel,26511
Jigawa,Guri,25562
Jigawa,Gwaram,92390
Jigawa,Gwiwa,29188
Jigawa,Hadejia,34798
Jigawa,Jahun,52496
Jigawa,Kafin Hausa,48880
Jigawa,Kaugama,39014
Jigawa,Kazaure,48865
Jigawa,Kiri Kasama,40693
Jigawa,Kiyawa,45754
Jigawa,Maigatari,33342
Jigawa,Malam Madori,35089
Jigawa,Miga,35460
Jigawa,Ringim,59889
Jigawa,Roni,63840
Jigawa,Sule Tankarkar,46955
Jigawa,Taura,44503
Jigawa,Yankwashi,17578
