state,local_government_area,1_59m
Adamawa,Demsa,78206
Adamawa,Fufore,96912
Adamawa,Ganye,57510
Adamawa,Girei,54459
Adamawa,Gombi,66079
Adamawa,Guyuk,29094
Adamawa,Hong,42148
Adamawa,Jada,51596
Adamawa,Lamurde,58805
Adamawa,Madagali,59093
Adamawa,Maiha,41025
Adamawa,Mayo-Belwa,53732
Adamawa,Michika,47642
Adamawa,Mubi North,72129
Adamawa,Mubi South,63412
Adamawa,Numan,37706
Adamawa,Shelleng,52008
Adamawa,Song,68762
Adamawa,Toungo,39584
Adamawa,Yola North,55147
Adamawa,Yola South,158842
Bauchi,Alkaleri,104368
Bauchi,Bauchi,348909
Bauchi,Bogoro,52820
Bauchi,Damban,71163
Bauchi,Darazo,111473
Bauchi,Dass,54560
Bauchi,Gamawa,139976
Bauchi,Ganjuwa,113535
Bauchi,Giade,58540
Bauchi,Itas/Gadau,92045
Bauchi,Jama'are,44065
Bauchi,Katagum,151068
Bauchi,Kirfi,53958
Bauchi,Misau,80443
Bauchi,Ningi,186392
Bauchi,Shira,80400
Bauchi,Tafawa-Balewa,94457
Bauchi,Toro,170821
Bauchi,Warji,47936
Bauchi,Zaki,102641
Gombe,Akko,149063
Gombe,Balanga,68210
Gombe,Billiri,39403
Gombe,Dukku,72801
Gombe,Funakaye,69732
Gombe,Gombe,81651
Gombe,Kaltungo,56563
Gombe,Kwami,61035
Gombe,Nafada,37411
Gombe,Shomgom,33549
Gombe,Yamaltu/Deba,86133
Jigawa,Auyo,40855
Jigawa,Babura,75281
Jigawa,Birnin Kudu,159404
Jigawa,Birniwa,47752
Jigawa,Buji,49312
Jigawa,Dutse,108436
Jigawa,Gagarawa,31902
Jigawa,Garki,60136
Jigawa,Gumel,42417
Jigawa,Guri,42157
Jigawa,Gwaram,162757
Jigawa,Gwiwa,30957
Jigawa,Hadejia,45093
Jigawa,Jahun,84506
Jigawa,Kafin Hausa,91986
Jigawa,Kaugama,53699
Jigawa,Kazaure,51232
Jigawa,Kiri Kasamma,58221
Jigawa,Kiyawa,91511
Jigawa,Maigatari,52726
Jigawa,Malam Madori,70324
Jigawa,Miga,55247
Jigawa,Ringim,73773
Jigawa,Roni,59712
Jigawa,Sule Tankarkar,66725
Jigawa,Taura,65086
Jigawa,Yankwashi,32265
Kaduna,Birnin Gwari,140327
Kaduna,Chikun,157050
Kaduna,Giwa,145543
Kaduna,Igabi,320342
Kaduna,Ikara,135435
Kaduna,Jaba,25807
Kaduna,Jema'A,56525
Kaduna,Kachia,75335
Kaduna,Kaduna North,87934
Kaduna,Kaduna South,89658
Kaduna,Kagarko,64711
Kaduna,Kajuru,56201
Kaduna,Kaura,38230
Kaduna,Kauru,97679
Kaduna,Kubau,207932
Kaduna,Kudan,59356
Kaduna,Lere,190119
Kaduna,Makarfi,115623
Kaduna,Sabon Gari,103622
Kaduna,Sanga,43641
Kaduna,Soba,217449
Kaduna,Zangon Kataf,66028
Kaduna,Zaria,278034
Kano,Ajingi,50005
Kano,Albasu,51461
Kano,Bagwai,58608
Kano,Bebeji,78212
Kano,Bichi,103628
Kano,Bunkure,63371
Kano,Dala,110281
Kano,Dambatta,69053
Kano,Dawakin Kudu,96300
Kano,Dawakin Tofa,92206
Kano,Doguwa,59659
Kano,Fagge,84173
Kano,Gabasawa,70187
Kano,Garko,50245
Kano,Garum Mallam,42889
Kano,Gaya,62546
Kano,Gezawa,89927
Kano,Gwale,108754
Kano,Gwarzo,71997
Kano,Kabo,42312
Kano,Kano Municipal,68002
Kano,Karaye,44016
Kano,Kibiya,51486
Kano,Kiru,96239
Kano,Kumbotso,154654
Kano,Kunchi,32653
Kano,Kura,51257
Kano,Madobi,59721
Kano,Makoda,56203
Kano,Minjibir,70641
Kano,Nassarawa,170002
Kano,Rano,62573
Kano,Rimin Gado,35477
Kano,Rogo,100823
Kano,Shanono,53650
Kano,Sumaila,76242
Kano,Takai,80409
Kano,Tarauni,67599
Kano,Tofa,38090
Kano,Tsanyawa,54564
Kano,Tudun Wada,91941
Kano,Ungogo,242492
Kano,Warawa,49023
Kano,Wudil,57874
Katsina,Bakori,98957
Katsina,Batagarawa,79516
Katsina,Batsari,74116
Katsina,Baure,65858
Katsina,Bindawa,64533
Katsina,Charanchi,53609
Katsina,Dan Musa,50263
Katsina,Dandume,75241
Katsina,Danja,97249
Katsina,Daura,75067
Katsina,Dutsi,54716
Katsina,Dutsin Ma,81045
Katsina,Faskari,74992
Katsina,Funtua,159310
Katsina,Ingawa,56803
Katsina,Jibia,66715
Katsina,Kafur,118533
Katsina,Kaita,57926
Katsina,Kankara,93085
Katsina,Kankia,72371
Katsina,Katsina,189867
Katsina,Kurfi,58042
Katsina,Kusada,36993
Katsina,Mai'Adua,68708
Katsina,Malumfashi,121392
Katsina,Mani,83284
Katsina,Mashi,86268
Katsina,Matazu,43985
Katsina,Musawa,60778
Katsina,Rimi,75542
Katsina,Sabuwa,51828
Katsina,Safana,71220
Katsina,Sandamu,47572
Katsina,Zango,41289
Kebbi,Aleiro,73432
Kebbi,Arewa Dandi,169419
Kebbi,Argungu,174788
Kebbi,Augie,90927
Kebbi,Bagudo,168241
Kebbi,Birnin Kebbi,199413
Kebbi,Bunza,103201
Kebbi,Dandi,122724
Kebbi,Fakai,94722
Kebbi,Gwandu,116142
Kebbi,Jega,144053
Kebbi,Kalgo,76103
Kebbi,Koko/Besse,142851
Kebbi,Maiyama,122043
Kebbi,Ngaski,127448
Kebbi,Sakaba,142060
Kebbi,Shanga,145891
Kebbi,Suru,111492
Kebbi,Wasagu/Danko,208686
Kebbi,Yauri,108701
Kebbi,Zuru,133518
Sokoto,Binji,55917
Sokoto,Bodinga,101590
Sokoto,Dange-Shuni,109287
Sokoto,Gada,159014
Sokoto,Goronyo,119146
Sokoto,Gudu,54777
Sokoto,Gwadabawa,130043
Sokoto,Illela,118938
Sokoto,Isa,92279
Sokoto,Kebbe,74275
Sokoto,Kware,137951
Sokoto,Rabah,86621
Sokoto,Sabon Birni,110349
Sokoto,Shagari,100028
Sokoto,Silame,67081
Sokoto,Sokoto North,78189
Sokoto,Sokoto South,80661
Sokoto,Tambuwal,137641
Sokoto,Tangaza,60495
Sokoto,Tureta,54985
Sokoto,Wamakko,129931
Sokoto,Wurno,116791
Sokoto,Yabo,79877
Yobe,Bade,112742
Yobe,Bursari,87536
Yobe,Damaturu,104287
Yobe,Fika,117897
Yobe,Fune,119453
Yobe,Geidam,64626
Yobe,Gujba,43993
Yobe,Gulani,67539
Yobe,Jakusko,105561
Yobe,Karasuwa,56385
Yobe,Machina,44575
Yobe,Nangere,61034
Yobe,Nguru,65542
Yobe,Potiskum,239110
Yobe,Tarmuwa,42207
Yobe,Yunusari,57266
Yobe,Yusufari,58999
Zamfara,Anka,152592
Zamfara,Bakura,113177
Zamfara,Birnin Magaji/Kiyaw,163501
Zamfara,Bukkuyum,187838
Zamfara,Bungudu,275729
Zamfara,Gummi,197678
Zamfara,Gusau,475884
Zamfara,Kaura Namoda,220394
Zamfara,Maradun,169992
Zamfara,Maru,257926
