state,local_government_area,1_59m
Adamawa,Demsa,47556
Adamawa,Fufore,74764
Adamawa,Ganye,52343
Adamawa,Girei,44319
Adamawa,Gombi,49526
Adamawa,Guyuk,42068
Adamawa,Hong,55841
Adamawa,Jada,54042
Adamawa,Lamurde,33598
Adamawa,Madagali,42724
Adamawa,Maiha,31586
Adamawa,Mayo-Belwa,51996
Adamawa,Michika,44387
Adamawa,Mubi North,49297
Adamawa,Mubi South,45336
Adamawa,Numan,28033
Adamawa,Shelleng,42383
Adamawa,Song,63589
Adamawa,Toungo,17274
Adamawa,Yola North,52866
Adamawa,Yola South,98501
Bauchi,Alkaleri,99200
Bauchi,Bauchi,224550
Bauchi,Bogoro,16902
Bauchi,Damban,43511
Bauchi,Darazo,93304
Bauchi,Dass,20157
Bauchi,Gamawa,86907
Bauchi,Ganjuwa,144153
Bauchi,Giade,54536
Bauchi,Itas/Gadau,68955
Bauchi,Jama'are,23448
Bauchi,Katagum,113592
Bauchi,Kirfi,51157
Bauchi,Misau,80088
Bauchi,Ningi,133433
Bauchi,Shira,69957
Bauchi,Tafawa-Balewa,62706
Bauchi,Toro,149327
Bauchi,Warji,25468
Bauchi,Zaki,79629
Gombe,Akko,178416
Gombe,Balanga,72372
Gombe,Billiri,41378
Gombe,Dukku,58064
Gombe,Funakaye,64452
Gombe,Gombe,83383
Gombe,Kaltungo,50191
Gombe,Kwami,61637
Gombe,Nafada,27846
Gombe,Shomgom,25972
Gombe,Yamaltu/Deba,123603
Jigawa,Auyo,30946
Jigawa,Babura,68448
Jigawa,Birnin Kudu,114332
Jigawa,Birniwa,37827
Jigawa,Buji,34647
Jigawa,Dutse,108475
Jigawa,Gagarawa,22661
Jigawa,Garki,66047
Jigawa,Gumel,24673
Jigawa,Guri,32834
Jigawa,Gwaram,95711
Jigawa,Gwiwa,39932
Jigawa,Hadejia,26352
Jigawa,Jahun,82518
Jigawa,Kafin Hausa,73799
Jigawa,Kaugama,41666
Jigawa,Kazaure,56891
Jigawa,Kiri Kasamma,39681
Jigawa,Kiyawa,70344
Jigawa,Maigatari,36786
Jigawa,Malam Madori,51447
Jigawa,Miga,39930
Jigawa,Ringim,99684
Jigawa,Roni,36295
Jigawa,Sule Tankarkar,59126
Jigawa,Taura,55426
Jigawa,Yankwashi,27287
Kaduna,Birnin Gwari,58281
Kaduna,Chikun,201240
Kaduna,Giwa,80930
Kaduna,Igabi,221438
Kaduna,Ikara,61802
Kaduna,Jaba,33252
Kaduna,Jema'A,79639
Kaduna,Kachia,64081
Kaduna,Kaduna North,104062
Kaduna,Kaduna South,89988
Kaduna,Kagarko,60857
Kaduna,Kajuru,27164
Kaduna,Kaura,46588
Kaduna,Kauru,57727
Kaduna,Kubau,89894
Kaduna,Kudan,41514
Kaduna,Lere,89569
Kaduna,Makarfi,49412
Kaduna,Sabon Gari,85473
Kaduna,Sanga,41966
Kaduna,Soba,87121
Kaduna,Zangon Kataf,85919
Kaduna,Zaria,133872
Kano,Ajingi,56143
Kano,Albasu,53445
Kano,Bagwai,54909
Kano,Bebeji,75212
Kano,Bichi,97774
Kano,Bunkure,51301
Kano,Dala,80216
Kano,Dambatta,86599
Kano,Dawakin Kudu,91729
Kano,Dawakin Tofa,79976
Kano,Doguwa,39284
Kano,Fagge,67418
Kano,Gabasawa,63251
Kano,Garko,59039
Kano,Garum Mallam,39137
Kano,Gaya,71179
Kano,Gezawa,104508
Kano,Gwale,107243
Kano,Gwarzo,62132
Kano,Kabo,47638
Kano,Kano Municipal,51638
Kano,Karaye,40399
Kano,Kibiya,41081
Kano,Kiru,77747
Kano,Kumbotso,214528
Kano,Kunchi,39600
Kano,Kura,49641
Kano,Madobi,47487
Kano,Makoda,44416
Kano,Minjibir,79438
Kano,Nassarawa,153178
Kano,Rano,51813
Kano,Rimin Gado,31899
Kano,Rogo,64862
Kano,Shanono,48792
Kano,Sumaila,85094
Kano,Takai,76470
Kano,Tarauni,65110
Kano,Tofa,37618
Kano,Tsanyawa,42054
Kano,Tudun Wada,72701
Kano,Ungogo,218794
Kano,Warawa,46196
Kano,Wudil,64586
Katsina,Bakori,70913
Katsina,Batagarawa,68528
Katsina,Batsari,51367
Katsina,Baure,65547
Katsina,Bindawa,49022
Katsina,Charanchi,48002
Katsina,Dan Musa,46377
Katsina,Dandume,56497
Katsina,Danja,58607
Katsina,Daura,64537
